Time: 2023-07-14 21:11:12.640947, Result: No human, Confidence: 0.978774
Time: 2023-07-14 21:11:16.683397, Result: No human, Confidence: 0.981329
Time: 2023-07-14 21:11:24.047042, Result: No human, Confidence: 0.978225
Time: 2023-07-14 21:11:26.751176, Result: No human, Confidence: 0.979702
Time: 2023-07-14 21:11:34.761401, Result: No human, Confidence: 0.985609
Time: 2023-07-14 21:11:37.088953, Result: No human, Confidence: 0.985658
Time: 2023-07-14 21:11:44.206217, Result: No human, Confidence: 0.985367
Time: 2023-07-14 21:11:46.566722, Result: No human, Confidence: 0.988226
Time: 2023-07-14 21:11:54.135312, Result: No human, Confidence: 0.987756
Time: 2023-07-14 21:11:56.629219, Result: No human, Confidence: 0.989445
Time: 2023-07-14 21:12:04.571299, Result: No human, Confidence: 0.994605
Time: 2023-07-14 21:12:08.269279, Result: No human, Confidence: 0.993623
Time: 2023-07-14 21:12:16.256238, Result: No human, Confidence: 0.993146
Time: 2023-07-14 21:12:18.393854, Result: No human, Confidence: 0.987386
Time: 2023-07-14 21:12:25.317765, Result: No human, Confidence: 0.985145
Time: 2023-07-14 21:12:28.323762, Result: No human, Confidence: 0.978609
Time: 2023-07-14 21:12:36.338084, Result: No human, Confidence: 0.965434
Time: 2023-07-14 21:12:39.280746, Result: No human, Confidence: 0.960722
Time: 2023-07-14 21:12:47.361649, Result: No human, Confidence: 0.955810
Time: 2023-07-14 21:12:50.887800, Result: No human, Confidence: 0.954359
Time: 2023-07-14 21:12:57.894888, Result: No human, Confidence: 0.945514
Time: 2023-07-14 21:13:00.506111, Result: No human, Confidence: 0.941040
Time: 2023-07-14 21:13:08.291003, Result: No human, Confidence: 0.936757
Time: 2023-07-14 21:13:14.311214, Result: No human, Confidence: 0.937647
Time: 2023-07-14 21:13:22.687193, Result: No human, Confidence: 0.922646
Time: 2023-07-14 21:13:25.813864, Result: No human, Confidence: 0.918157
Time: 2023-07-14 21:13:33.768990, Result: No human, Confidence: 0.917811
Time: 2023-07-14 21:13:36.552025, Result: No human, Confidence: 0.922031
Time: 2023-07-14 21:13:43.698766, Result: No human, Confidence: 0.946980
Time: 2023-07-14 21:13:45.808476, Result: No human, Confidence: 0.949203
Time: 2023-07-14 21:13:53.741976, Result: No human, Confidence: 0.943406
Time: 2023-07-14 21:13:55.614584, Result: No human, Confidence: 0.940718
Time: 2023-07-14 21:14:03.252136, Result: No human, Confidence: 0.935929
Time: 2023-07-14 21:14:06.322059, Result: No human, Confidence: 0.930956
Time: 2023-07-14 21:14:14.031111, Result: No human, Confidence: 0.932266
Time: 2023-07-14 21:14:17.141438, Result: No human, Confidence: 0.935157
Time: 2023-07-14 21:14:24.223901, Result: No human, Confidence: 0.931090
Time: 2023-07-14 21:14:27.236639, Result: No human, Confidence: 0.930707
Time: 2023-07-14 21:14:34.377125, Result: No human, Confidence: 0.934471
Time: 2023-07-14 21:14:37.438427, Result: No human, Confidence: 0.934136
Time: 2023-07-14 21:14:45.916290, Result: No human, Confidence: 0.946638
Time: 2023-07-14 21:14:48.427822, Result: No human, Confidence: 0.943694
Time: 2023-07-14 21:14:57.196736, Result: No human, Confidence: 0.954257
Time: 2023-07-14 21:15:00.683629, Result: No human, Confidence: 0.943463
Time: 2023-07-14 21:15:07.914909, Result: No human, Confidence: 0.939070
Time: 2023-07-14 21:15:10.890346, Result: No human, Confidence: 0.938040
Time: 2023-07-14 21:15:20.465347, Result: No human, Confidence: 0.934872
Time: 2023-07-14 21:15:24.132937, Result: No human, Confidence: 0.987843
Time: 2023-07-14 21:15:33.782014, Result: No human, Confidence: 0.991046
Time: 2023-07-14 21:15:35.754891, Result: No human, Confidence: 0.985756
Time: 2023-07-14 21:15:43.306355, Result: No human, Confidence: 0.975704
Time: 2023-07-14 21:15:46.230369, Result: No human, Confidence: 0.975071
Time: 2023-07-14 21:15:53.742427, Result: No human, Confidence: 0.977888
Time: 2023-07-14 21:15:55.900042, Result: No human, Confidence: 0.983377
Time: 2023-07-14 21:16:05.606221, Result: No human, Confidence: 0.981243
Time: 2023-07-14 21:16:09.295647, Result: No human, Confidence: 0.982163
Time: 2023-07-14 21:16:19.832675, Result: No human, Confidence: 0.979706
Time: 2023-07-14 21:16:22.621632, Result: No human, Confidence: 0.977492
Time: 2023-07-14 21:16:30.915296, Result: No human, Confidence: 0.972445
Time: 2023-07-14 21:16:32.810821, Result: No human, Confidence: 0.973187
Time: 2023-07-14 21:16:40.214350, Result: No human, Confidence: 0.966665
Time: 2023-07-14 21:16:43.288829, Result: No human, Confidence: 0.965763
Time: 2023-07-14 21:16:51.697831, Result: No human, Confidence: 0.959441
Time: 2023-07-14 21:16:53.684066, Result: No human, Confidence: 0.961452
Time: 2023-07-14 21:17:01.719750, Result: No human, Confidence: 0.981165
Time: 2023-07-14 21:17:04.191494, Result: No human, Confidence: 0.978783
Time: 2023-07-14 21:17:12.411589, Result: No human, Confidence: 0.981708
Time: 2023-07-14 21:17:14.693987, Result: No human, Confidence: 0.978794
Time: 2023-07-14 21:17:22.284982, Result: No human, Confidence: 0.976643
Time: 2023-07-14 21:17:24.570783, Result: No human, Confidence: 0.976651
Time: 2023-07-14 21:17:32.368279, Result: No human, Confidence: 0.976479
Time: 2023-07-14 21:17:34.702384, Result: No human, Confidence: 0.978063
Time: 2023-07-14 21:17:41.973743, Result: No human, Confidence: 0.977780
Time: 2023-07-14 21:17:44.651873, Result: No human, Confidence: 0.974214
Time: 2023-07-14 21:17:52.731461, Result: No human, Confidence: 0.962699
Time: 2023-07-14 21:17:54.896773, Result: No human, Confidence: 0.958475
Time: 2023-07-14 21:18:02.176782, Result: No human, Confidence: 0.961634
Time: 2023-07-14 21:18:04.837376, Result: No human, Confidence: 0.967682
Time: 2023-07-14 21:18:12.302222, Result: No human, Confidence: 0.973117
Time: 2023-07-14 21:18:14.263498, Result: No human, Confidence: 0.972872
Time: 2023-07-14 21:18:21.623600, Result: No human, Confidence: 0.971650
Time: 2023-07-14 21:18:24.507471, Result: No human, Confidence: 0.986256
Time: 2023-07-14 21:18:32.488460, Result: No human, Confidence: 0.987470
Time: 2023-07-14 21:18:34.762107, Result: No human, Confidence: 0.983807
Time: 2023-07-14 21:18:41.670585, Result: No human, Confidence: 0.976663
Time: 2023-07-14 21:18:44.137403, Result: No human, Confidence: 0.978171
Time: 2023-07-14 21:18:52.665121, Result: No human, Confidence: 0.974152
Time: 2023-07-14 21:18:54.736694, Result: No human, Confidence: 0.978502
Time: 2023-07-14 21:19:01.614325, Result: No human, Confidence: 0.981077
Time: 2023-07-14 21:19:04.380310, Result: No human, Confidence: 0.981529
Time: 2023-07-14 21:19:11.277128, Result: No human, Confidence: 0.988873
Time: 2023-07-14 21:19:13.226945, Result: No human, Confidence: 0.987953
Time: 2023-07-14 21:19:20.149029, Result: No human, Confidence: 0.987953
Time: 2023-07-14 21:19:23.703963, Result: No human, Confidence: 0.984852
Time: 2023-07-14 21:19:30.741260, Result: No human, Confidence: 0.975641
Time: 2023-07-14 21:19:33.076782, Result: No human, Confidence: 0.978787
Time: 2023-07-14 21:19:40.584228, Result: No human, Confidence: 0.987555
Time: 2023-07-14 21:19:42.546096, Result: No human, Confidence: 0.987220
Time: 2023-07-14 21:19:49.531751, Result: No human, Confidence: 0.988675
Time: 2023-07-14 21:19:51.581547, Result: No human, Confidence: 0.988393
